timestamp,servo1Angle,servo2Angle,targetAngle,velocityAngle,targetX,targetY,error,pidOutput
114.529618,0,0.0375000015,2.11615515,2.71097565,-479.417908,790.15686,-0.594820499,-4.54777813
114.629613999999,0,0.0366666652,2.11589909,2.73201537,-478.992676,789.91217,-0.616116285,-4.39046144
114.729622,0,0.0358333327,2.1152072,2.74652982,-478.145508,789.747192,-0.631322622,-4.26716375
114.829618,0,0.0333333351,2.11494732,2.78966141,-477.718201,789.504517,-0.674714088,-3.97989082
114.929618,0,0.0324999988,2.11494493,2.7897737,-477.714783,789.502686,-0.674828768,-3.94056869
115.029618,0,0.0324999988,2.11494493,2.78888249,-477.714783,789.502686,-0.673937559,-3.90706158
115.129618,0,0.024166666,2.11355639,2.94842172,-476.027344,789.186279,-0.834865332,-2.93717885
115.229617999999,0,0.020833334,2.11319828,3.02078176,-475.594788,789.107788,-0.907583475,-2.46853375
115.329621999999,0,0.019166667,2.1128006,3.04608846,-475.167786,789.108765,-0.933287859,-2.26778483
115.429622,0,0.0141666671,2.11201239,3.12933183,-474.324036,789.114502,-1.01731944,-1.72803164
115.529622,0,0.0116666667,2.1116128,-3.09982729,-473.897034,789.118408,-1.07174516,-1.35478842
115.629626,0,0.00833333377,2.11117125,-3.05490041,-473.47406,789.202942,-1.11711335,-1.03084207
115.729622,0,0.00666666683,2.11033869,-3.03405929,-472.630981,789.286438,-1.13878751,-0.841410398
115.829621999999,0,0.00416666688,2.10984826,-2.98553038,-472.204773,789.453064,-1.18780637,-0.492496938
115.929622,0,0.000833333354,2.10901475,-2.93302989,-471.362976,789.538818,-1.2411406,-0.115801826
116.029626,0,-0,2.10900784,-2.93248034,-471.356262,789.539673,-1.24169755,-0.0414666571
116.129626,0,-0,2.10900784,-2.93272209,-471.356262,789.539673,-1.24145532,0.0282754656
116.229626,0.000833333354,-0,2.10900784,-2.93314385,-471.356262,789.539673,-1.24103379,0.0969664156
116.329637999999,0.00166666671,-0,2.10900784,-2.93302894,-471.356201,789.539673,-1.24114823,0.168734625
116.429625999999,0.0166666675,-0,2.10659432,-2.63190317,-469.266846,790.367859,-1.54468751,1.99639046
116.529629999999,0.0175000001,-0,2.10657501,-2.62952614,-469.250549,790.375244,-1.54708409,2.09876323
116.629629999999,0.0183333326,-0,2.10657501,-2.63020706,-469.250488,790.375305,-1.54640317,2.18346429
116.72963,0.0291666668,-0,2.10489678,-2.41565943,-467.994507,791.281738,-1.76262879,3.52333713
116.82963,0.0316666663,-0,2.10470629,-2.37838221,-467.988098,791.614807,-1.80009675,3.84115052
116.92963,0.0366666652,-0,2.10418034,-2.30378747,-467.57251,791.862488,-1.87521768,4.37900352
117.029629999999,0.0416666679,-0,2.10360503,-2.2222302,-467.152649,792.192017,-1.95735002,4.96173525
117.129629999999,0.0458333343,-0,2.10303044,-2.14520168,-466.733154,792.521118,-2.03495336,5.52296352
117.229633999999,0.0466666669,-0,2.10302591,-2.14619756,-466.729919,792.523804,-2.03396153,5.63381863
117.32963,0.0474999994,-0,2.10302591,-2.14700747,-466.729858,792.523804,-2.03315187,5.7456708
117.429634,0.0566666685,-0,2.1024909,-1.98728657,-466.736206,793.50531,-2.19340825,6.78954554
117.529634,0.0616666675,-0,2.10191774,-1.90362906,-466.320312,793.838989,-2.27763867,7.4026494
117.629634,0.0649999976,-0,2.10169315,-1.84940517,-466.320251,794.246826,-2.3320868,7.84823227
117.729633999999,0.0675000027,-0,2.10116768,-1.82870543,-465.901917,794.490234,-2.35331273,8.10468292
117.829637999999,0.0683333352,-0,2.10116386,-1.82708204,-465.898621,794.492004,-2.3549397,8.24893284
117.929638,0.0700000003,-0,2.10116386,-1.82483792,-465.898621,794.492065,-2.35718369,8.39684677
118.029638,0.0799999982,-0,2.10072422,-1.64840627,-465.905518,795.304565,-2.53405499,9.55543518
118.129638,0.0841666684,-0,2.10058928,-1.58386672,-465.908142,795.555542,-2.59872937,10.0748882
118.229642,0.0891666636,-0,2.10036755,-1.50581396,-465.911011,795.9646,-2.6770041,10.6767511
118.329637999999,0.0900000036,-0,2.10036612,-1.50642908,-465.911133,795.967896,-2.67638993,10.8265781
118.429638,0.0916666687,-0,2.10036612,-1.50764155,-465.911133,795.967896,-2.67517781,10.972908
118.529646,0.0958333313,-0,2.09987617,-1.44949687,-465.913513,796.866943,-2.73381257,11.465497
118.629642,0.0983333364,-0,2.09969544,-1.41730034,-465.914856,797.199829,-2.76618981,11.809495
118.729642,0.103333332,-0,2.09956408,-1.34327781,-465.917236,797.44458,-2.84034371,12.3971062
118.829642,0.104999997,-0,2.09943008,-1.34424055,-465.916992,797.689453,-2.83951497,12.5550499
118.929641999999,0.108333334,-0,2.09925318,-1.28802001,-465.919006,798.017212,-2.89591241,13.0441065
119.029642,0.109999999,-0,2.09925175,-1.28875971,-465.919128,798.019897,-2.89517426,13.205759
119.129642,0.111666664,-0,2.09925175,-1.29020965,-465.919128,798.019958,-2.89372373,13.363245
119.229646,0.112499997,-0,2.09925175,-1.29138231,-465.919128,798.019958,-2.89255166,13.5222616
119.329646,0.11416667,-0,2.09925175,-1.29202902,-465.919128,798.019958,-2.89190507,13.6842508
119.429646,0,0.174999997,2.09903193,-1.03989744,-466.346741,799.155273,3.13892937,-21.0497322
119.529662,0,0.173333332,2.09889984,-0.973471403,-466.352417,799.407654,3.07237124,-20.8444138
119.629645999999,0,0.171666667,2.09920502,-0.905340493,-466.774475,799.570679,3.00454545,-20.6279507
119.729646,0,0.169166669,2.0990777,-0.8110677,-466.779663,799.81366,2.91014528,-20.2538185
119.829646,0,0.170000002,2.09907675,-0.810652077,-466.779785,799.815491,2.90972877,-20.4181442
119.92965,0,0.171666667,2.09907675,-0.811137378,-466.779785,799.815552,2.91021419,-20.5876694
120.029646,0,0.161666662,2.0992105,-0.572867811,-467.2052,800.298401,2.67207837,-19.3763504
120.129658,0,0.162499994,2.09921193,-0.575902641,-467.208862,800.302063,2.67511463,-19.54702
120.229649999999,0,0.164166674,2.09921169,-0.580306113,-467.208862,800.302124,2.67951775,-19.7257729
120.32965,0,0.155000001,2.09982204,-0.36471507,-468.049927,800.620728,2.46453714,-18.6352329
120.429657999999,0,0.155833334,2.09978294,-0.345510691,-468.056519,800.703796,2.44529366,-18.665081
120.52965,0,0.160833329,2.10012698,-0.438291788,-468.475647,800.788086,2.53841877,-19.3440895
120.62965,0,0.164166674,2.1004746,-0.482659101,-468.897888,800.87085,2.5831337,-19.7482891
120.729654,0,0.167500004,2.10043097,-0.514073253,-468.898499,800.952393,2.61450434,-20.0778294
120.829653999999,0,0.168333337,2.10043049,-0.512960792,-468.898376,800.953003,2.6133914,-20.2211895
120.929654,0,0.169166669,2.10038424,-0.495864451,-468.895264,801.032349,2.59624863,-20.2717228
121.029654,0,0.168333337,2.10077524,-0.461119324,-469.315796,801.032349,2.56189466,-20.221674
121.129654,0,0.171666667,2.10077715,-0.499971718,-469.318115,801.032593,2.60074878,-20.5933056
121.229654,0,0.166666672,2.10112476,-0.374864787,-469.738403,801.11145,2.47598958,-20.0203514
121.329658,0,0.159999996,2.10113001,-0.215842023,-469.742798,801.109314,2.31697202,-19.2420006
121.429654,0,0.158333331,2.10156417,-0.151632369,-470.16156,801.026306,2.25319648,-19.0056915
121.529657999999,0,0.155000001,2.10157061,-0.0575280823,-470.167114,801.024231,2.15909863,-18.5902576
121.629658,0,0.155833334,2.10157061,-0.0564719066,-470.167297,801.02417,2.15804243,-18.7078533
121.729658,0,0.156666666,2.10157061,-0.0585930273,-470.167297,801.02417,2.16016364,-18.8437767
121.829658,0,0.139166668,2.1024487,0.33602944,-471.012512,800.852539,1.76641929,-16.6889935
