timestamp,deltaP,airspeed
523.120193999999,-713.092102,34.3428764
523.13803,-713.092102,34.3424568
523.174934,-693.748352,33.8730125
523.19203,-684.068665,33.6357841
523.210225999999,-693.748352,33.8736877
523.246945999999,-693.748352,33.8746605
523.26403,-684.068665,33.6368256
523.282934,-684.068665,33.6360588
523.318974,-703.412415,34.1079903
523.33603,-693.748352,33.8733559
523.355686,-713.092102,34.3428993
523.372034,-713.092102,34.3428993
523.408034,-713.092102,34.3423996
523.426946,-703.412415,34.1087914
523.44403,-703.412415,34.1093712
523.480197999999,-684.068665,33.6358528
523.498034,-693.748352,33.8737717
523.534974,-693.748352,33.8736458
523.552034,-703.412415,34.1082153
523.570274,-684.068665,33.6358452
523.606898,-684.068665,33.6360435
523.624034,-684.068665,33.6354103
523.642934,-693.748352,33.8735428
523.679006,-703.412415,34.1087112
523.696034,-693.748352,33.8736038
523.71559,-703.412415,34.1086311
523.732118,-703.412415,34.1086311
523.768034,-693.748352,33.8731422
523.78695,-684.068665,33.6366119
523.804034,-684.068665,33.6366959
523.840198,-693.748352,33.8733444
523.858034,-703.412415,34.1089363
523.895594,-693.748352,33.8735085
523.912034,-684.068665,33.6369667
523.93023,-684.068665,33.6363907
523.966898,-693.748352,33.872921
523.984033999999,-713.092102,34.3420906
524.00321,-713.092102,34.3429947
524.038038,-713.092102,34.3434563
524.056033999999,-703.412415,34.1090469
524.07495,-703.412415,34.1089516
524.092033999999,-693.748352,33.8738327
524.128038,-693.748352,33.8741531
524.146938,-703.412415,34.1090851
524.164033999999,-703.412415,34.1084137
524.200202,-703.412415,34.10812
524.218037999999,-693.748352,33.8733597
524.255598,-693.748352,33.8738022
524.272037999999,-684.068665,33.6360817
524.29023,-703.412415,34.1088028
524.327174,-703.412415,34.1084747
524.344037999999,-703.412415,34.1089821
524.363197999999,-713.092102,34.3431129
524.398938,-703.412415,34.1088257
524.416037999999,-703.412415,34.1094627
524.434954,-693.748352,33.8744431
524.452037999999,-684.068665,33.637291
524.488038,-693.748352,33.8731918
524.506901999999,-693.748352,33.8735771
524.542942,-703.412415,34.1085243
524.560202,-703.412415,34.1088867
524.578038,-693.748352,33.8739128
524.615806,-703.412415,34.1084137
524.632138,-713.092102,34.3429985
524.651094,-703.412415,34.1082878
524.686981999999,-713.092102,34.3429527
524.704038,-693.748352,33.8733025
524.722942,-693.748352,33.8739471
524.758942,-703.412415,34.108387
524.776038,-684.068665,33.6373253
524.795598,-693.748352,33.8737793
524.812038,-693.748352,33.8737793
524.848038,-703.412415,34.109024
524.867141999999,-703.412415,34.1086655
524.884038,-693.748352,33.8738441
524.920206,-684.068665,33.6368828
524.938054,-703.412415,34.1091232
524.976049999999,-703.412415,34.1091499
524.992042,-693.748352,33.8733292
525.010238,-703.412415,34.1088409
525.046946,-713.092102,34.3423691
525.064042,-693.748352,33.8730202
525.082941999999,-693.748352,33.8737907
525.118941999999,-703.412415,34.1084938
525.136042,-645.39679,32.6716576
525.155602,-635.732727,32.4260139
525.172042,-635.732727,32.4260139
525.208042,-635.732727,32.4258461
525.226906,-635.732727,32.426033
525.244042,-645.39679,32.6719933
525.280205999999,-655.060852,32.9150848
525.298042,-645.39679,32.6723671
525.334946,-655.060852,32.9153786
525.352042,-635.732727,32.4262619
525.370298,-645.39679,32.6720085
525.406906,-635.732727,32.4255486
525.424042,-693.748352,33.8734131
525.442958,-693.748352,33.8734436
525.478986,-693.748352,33.8740311
525.496042,-693.748352,33.8740234
525.515589999999,-693.748352,33.873642
525.532126,-693.748352,33.873642
525.568046,-713.092102,34.3423538
525.587014,-703.412415,34.108902
525.604046,-722.756165,34.5743408
525.64021,-703.412415,34.1084023
525.658046,-703.412415,34.1079483
525.695634,-693.748352,33.8741188
525.712041999999,-684.068665,33.6364708
525.730238,-684.068665,33.6364937
525.767137999999,-684.068665,33.6362495
525.784046,-693.748352,33.8739471
525.802962,-684.068665,33.6370621
525.838046,-713.092102,34.3428383
525.856046,-684.068665,33.636055
525.874949999999,-693.748352,33.8740463
525.892046,-703.412415,34.109169
525.928045999999,-703.412415,34.1087456
525.94695,-713.092102,34.3424683
525.964045999999,-693.748352,33.873764
526.00021,-684.068665,33.6363449
526.018045999999,-703.412415,34.109005
526.055593999999,-703.412415,34.1087265
526.072222,-703.412415,34.1090279
526.090242,-703.412415,34.1088219
526.12691,-684.068665,33.6364899
526.14405,-693.748352,33.8737564
526.162962,-703.412415,34.1085052
526.199017999999,-713.092102,34.3422928
526.216049999999,-703.412415,34.1083565
526.235658,-703.412415,34.1088791
526.252049999999,-703.412415,34.1088791
526.288049999999,-635.732727,32.4270935
526.306914,-626.05304,32.1789284
526.342966,-635.732727,32.4263611
526.360214,-626.05304,32.1787453
526.378049999999,-626.05304,32.1789474
526.415598,-635.732727,32.4264412
526.432134,-626.05304,32.1789207
526.450982,-635.732727,32.4271431
526.486954,-635.732727,32.4267082
526.50405,-635.732727,32.4260979
526.523162,-645.39679,32.6725616
526.559074,-732.42804,34.8051376
526.57605,-713.092102,34.3424187
526.595598,-713.092102,34.3423424
526.61205,-713.092102,34.3423424
526.64805,-684.068665,33.6369781
526.667158,-693.748352,33.8732643
526.68405,-693.748352,33.8734665
526.720218,-703.412415,34.1086731
526.738053999999,-693.748352,33.8735847
526.774954,-693.748352,33.8740578
526.79205,-703.412415,34.1091003
526.810245999999,-703.412415,34.1083565
526.846994,-713.092102,34.3418312
526.864057999999,-703.412415,34.109108
526.882954,-693.748352,33.8736
526.918954,-703.412415,34.1080093
526.936054,-703.412415,34.1081886
526.955637999999,-703.412415,34.1089973
526.972054,-693.748352,33.8738785
527.008054,-693.748352,33.8736458
527.026918,-693.748352,33.8744659
527.044054,-693.748352,33.8736
