Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
640801;143290;-8.2891636;39.3901596;0
643201;143360;-8.2891607;39.3901596;0
645601;143450;-8.2891598;39.3901558;170
648001;143530;-8.2891588;39.3901558;170
650401;143610;-8.2891569;39.3901558;170
652801;143700;-8.2891569;39.3901520;170
655201;143790;-8.2891560;39.3901520;170
657601;143860;-8.2891560;39.3901520;170
660002;143940;-8.2891550;39.3901520;170
662401;144010;-8.2891550;39.3901482;171
664801;144090;-8.2891550;39.3901482;0
667201;144140;-8.2891541;39.3901443;172
669601;144250;-8.2891531;39.3901443;173
672002;144330;-8.2891541;39.3901520;172
674401;144410;-8.2891569;39.3901520;171
676801;144490;-8.2891588;39.3901482;171
679201;144570;-8.2891569;39.3901405;171
681601;144640;-8.2891569;39.3901405;171
684002;144710;-8.2891569;39.3901367;171
686401;144790;-8.2891579;39.3901367;171
688801;144850;-8.2891579;39.3901367;170
691201;144950;-8.2891588;39.3901405;170
693601;145000;-8.2891579;39.3901405;170
696002;145070;-8.2891579;39.3901405;170
698401;145150;-8.2891560;39.3901367;170
700801;145240;-8.2891550;39.3901367;170
703201;145300;-8.2891541;39.3901367;0
705601;145400;-8.2891541;39.3901367;170
708002;145480;-8.2891531;39.3901367;170
710401;145540;-8.2891531;39.3901367;170
712801;145630;-8.2891541;39.3901367;170
715201;145700;-8.2891541;39.3901367;170
718801;145810;-8.2891550;39.3901405;0
723601;145930;-8.2891541;39.3901367;169
727201;146040;-8.2891531;39.3901367;169
729601;146120;-8.2891531;39.3901367;169
732002;146200;-8.2891531;39.3901367;169
734401;146230;-8.2891531;39.3901367;169
736801;146290;-8.2891521;39.3901367;168
739201;146370;-8.2891531;39.3901367;168
741601;146420;-8.2891541;39.3901367;168
744002;146510;-8.2891560;39.3901367;169
746401;146570;-8.2891588;39.3901367;169
748801;146660;-8.2891607;39.3901405;168
751201;146730;-8.2891617;39.3901405;168
753601;146800;-8.2891617;39.3901405;168
756002;146870;-8.2891617;39.3901405;168
758401;146910;-8.2891617;39.3901405;168
760801;147010;-8.2891617;39.3901405;168
763201;147060;-8.2891617;39.3901405;169
765601;147150;-8.2891607;39.3901405;169
