time,msl_altitude,agl_altitude,verticalSpeed,x0,x1,x2
41.062171999999,2608.51636,2541.57056,-22.2617435,73669.6172,206.599686,-18.6375942
41.0821679999999,2607.25073,2540.30493,-22.9070625,73681.3594,212.615997,-16.8232384
41.1021679999994,2606.05908,2539.11328,-23.4843044,73692.4297,218.00032,-15.198658
41.1221759999999,2604.81445,2537.86865,-24.0966339,73703.9688,223.712784,-13.4901247
41.1421799999998,2603.65967,2536.71387,-24.6301861,73714.7031,228.693237,-11.9991655
41.1621719999994,2602.71118,2535.76538,-24.9842796,73723.5078,232.003464,-10.990984
41.1821719999998,2601.83398,2534.88818,-25.2742519,73731.6484,234.717133,-10.157937
41.2021719999993,2601.12305,2534.17725,-25.4229832,73738.2578,236.115494,-9.70314312
41.2221719999989,2600.63428,2533.68848,-25.3843079,73742.7969,235.768066,-9.74669552
41.2421759999988,2600.44409,2533.49829,-25.0968819,73744.5625,233.102997,-10.4481602
41.2621679999993,2600.4519,2533.5061,-24.6478348,73744.4922,228.932022,-11.5732832
41.2821719999993,2600.59741,2533.65161,-24.0882187,73743.1406,223.730911,-12.9845514
41.3021679999993,2601.01489,2534.06909,-23.306551,73739.25,216.461517,-14.975153
41.3221719999992,2600.92749,2533.98169,-22.9566307,73740.0625,213.213516,-15.8124619
41.3421719999997,2600.74536,2533.79956,-22.6916828,73741.7656,210.756699,-16.4203358
41.3621719999992,2600.74268,2533.79688,-22.2766781,73741.7734,206.902237,-17.4216595
41.3821759999992,2601.26318,2534.31738,-21.4311237,73736.9453,199.038315,-19.555891
41.4021719999992,2601.41382,2534.46802,-20.9045448,73735.5547,194.144836,-20.834465
41.4221719999996,2601.46143,2534.51562,-20.4696407,73735.1094,190.104843,-21.8634033
41.4421839999995,2601.58813,2534.64233,-19.9736462,73733.9297,185.496078,-23.0480156
41.4621879999995,2601.7229,2534.7771,-19.4762344,73732.6719,180.874069,-24.2296638
41.4821719999991,2601.94751,2535.00171,-18.9102325,73730.5859,175.613663,-25.5858898
41.5021719999995,2601.71509,2534.76929,-18.7335339,73732.75,173.976837,-25.9053936
41.522172,2601.78638,2534.84058,-18.3052216,73732.1016,169.997925,-26.8881855
41.5421719999995,2602.04272,2535.09692,-17.7260036,73729.7188,164.614517,-28.2642422
41.5621759999995,2601.67285,2534.72705,-17.6774673,73733.1484,164.169952,-28.2299557
41.582175999999,2601.25269,2534.30688,-17.6711502,73737.0391,164.118301,-28.0842876
41.6021719999999,2599.93677,2532.99097,-18.4163609,73749.2656,171.062302,-25.952837
41.6221719999994,2599.10449,2532.15869,-18.7484779,73756.9922,174.161972,-24.9251957
41.6421759999994,2598.12134,2531.17554,-19.2043324,73766.1328,178.41449,-23.5760117
41.6621799999994,2597.14917,2530.20337,-19.6456718,73775.1719,182.532791,-22.272604
